fecha,nombre,localidad,medio,notas,refs
1979,Guillermo Gallardo Astorga,"Chihuahua, Chihuahua",,,79? 
13 de diciembre de 1979,Alberto Rodríguez Torres,"Pachuca, Hidalgo",,,80? 
1980,Alberto J. Altamirano,"Poza Rica, Veracruz",,,78? 
21 de febrero de 1980,Jorge Ortiz Lagunas ,"Cuernavaca, Morelos",Diario de Morelos,,81?82?83?84? 
7 de junio de 1980,Aarón Flores Heredia,"Sinaloa, Sinaloa",,,85? 
27 de junio de 1982,Cristóbal Sánchez Reyes,"Acayucan, Veracruz",,,86? 
1983,Salvador Cruz Cervantes,"Córdoba, Veracruz",,,87? 
27 de febrero de 1983,Mario Centeno Yáñez,"Naucalpan, Estado de México",,,88? 
20 de abril de 1983,Julián Sánchez Beltrán,"Tláhuac, Ciudad de México",,,89? 
17 de mayo de 1983,Eliseo Morán Muñoz,"Puente de Ixtla, Morelos",,,90? 
1984,Jorge Fernández Garduño,"Nezahualcóyotl, Estado de México",,,91? 
1984,Julio Hernández Garduño,"Ciudad Victoria, Tamaulipas",,,91? 
1984,Francisco Salvidar,"Reynosa, Tamaulipas",,,91? 
30 de mayo de 1984,Manuel Buendía Téllez-Girón,"Ciudad de México, Ciudad de México",,,92?93? 
30 de mayo de 1984,Javier Juárez Vázquez,"Minatitlán, Veracruz",,,94?95? 
1985,José Luis Nava Landa,"Chilpancingo, Guerrero",,,96? 
17 de enero de 1985,Jesús Godoy Mena,"Ayutla de los Libres, Guerrero",El Correo de Iguala,Asesinado,88? 
6 de marzo de 1985,Emilio Santiago Alvarado,"Tehuacán, Puebla",,,91?97? 
25 de octubre de 1985,Roberto Ornelas Reyes,"Mazatlán, Sinaloa",,,91?98? 
1986,Pablo Nájera López,"Sinaloa, Sinaloa",,,22? 
20 de marzo de 1986,Héctor Odilón López López,"Culiacán, Sinaloa",,,91?99? 
8 de agosto de 1986,Eleuterio Cachú de la Cerda,"Tijuana, Baja California",,,91?100? 
15 de agosto de 1986,Juan Manuel Félix Zueta,"Culiacán, Sinaloa",,,91?101? 
15 de agosto de 1986,María de Jesús Gil de Félix,"Culiacán, Sinaloa",,,101? 
17 de junio de 1986,Jorge Breñas Araya,"Reynosa, Tamaulipas",,,102? 
17 de julio de 1986,C. David Cárdenas Rueda,"Veracruz, Veracruz",,,91?103? 
17 de julio de 1986,Norma Alicia Moreno Figueroa,"Matamoros, Tamaulipas",,,94? 
17 de julio de 1986,Ernesto Flores Torrijos,"Matamoros, Tamaulipas",,,94? 
7 de octubre de 1986,Odilón López Urias,"Guamúchil-Culiacán, Sinaloa",,,104? 
5 de noviembre de 1986,Antonio Iván Menéndez Marcín,"Ciudad de México, Ciudad de México",,,88? 
10 de diciembre de 1986,Manuel Rodríguez Rodríguez,"Ciudad de México, Ciudad de México",,,105? 
2 de marzo de 1987,Martín Ortiz Moreno,"Acapulco, Guerrero",,,106? 
16 de octubre de 1987,Jesús Michel Jacobo,"Culiacán, Sinaloa",,,107? 
19 de octubre de 1987,Clementina Herreros Andrade,"Ciudad de México, Ciudad de México",,,108? 
28 de diciembre de 1987,Felipe González Hernández,"Nezahualcóyotl, Estado de México",,,109? 
22 de febrero de 1988,Manuel Burgueño Orduño,"Mazatlán, Sinaloa",,,110? 
19 de marzo de 1988,Damián Sergio de Luna,"Ciudad de México, Ciudad de México",,,111? 
20 de abril de 1988,Héctor Félix Miranda,"Tijuana, Baja California",,,112?113? 
15 de julio de 1988,Ronay González Reyes,"Comitán, Chiapas",,,114? 
23 de julio de 1988,Linda Bejarano,"Ciudad Juárez, Chihuahua",Canal 44,,115? 
15 de octubre de 1988,Rigoberto Coria Ochoa,"Acapulco, Guerrero",,,106? 
1989,Joel Herrera Zurita,N/A,,,91? 
11 de enero de 1989,Ezequiel Huerta Acosta,"Saltillo, Coahuila",,,106?116? 
19 de enero de 1989,Alberto Ruvalcaba Torres,"Jalisco, Jalisco",,,117? 
30 de junio de 1989,Elías Mario Medina Valenzuela,"Durango, Durango",,,118? 
23 de noviembre de 1989,Martín Heredia Sánchez,"Huasteca, Veracruz",,,N 2?119? 
19 de diciembre de 1989,Rodolfo Mendoza Morales,"Puebla, Puebla",,,106? 
23 de diciembre de 1989,Elvira Marcelo Esquivel,"Ciudad de México, Ciudad de México",,,120? 
10 de marzo de 1990,Jaime Huitrón,"Tula, Hidalgo",,,120? 
4 de mayo de 1990,Roberto Azúa Camacho,"Reynosa, Tamaulipas",,,105?121? 
6 de junio de 1990,Alfredo Córdova Solórzano,"Tapachula, Chiapas",,,122? 
1991,Lázaro Cárdenas,Michoacán,,,123? 
6 de abril de 1991,Alejandro Campos Moreno,"Cuernavaca, Morelos",,,123?124? 
3 de julio de 1991,Víctor Manuel Oropeza,"Ciudad Juárez, Chihuahua",,,125? 
7 de octubre de 1991,Juvencio Arenas Gálvez,"Ciudad de México, Ciudad de México",,,126? 
14 de octubre de 1991,Gabriel Venegas Valencia,N/A,,,127? 
31 de diciembre de 1991,Fernando Preciado Escobar,"Tapachula, Chiapas",,,122? 
13 de noviembre de 1992,Ignacio Mendoza Castillo,"Ciudad de México, Ciudad de México",,,128? 
de enero de 1993,Carlos Aguilar Garza,"Nuevo Laredo, Tamaulipas",,,129? 
2 de febrero de 1993,Roberto Antonio Mancilla Herrera,"Tuxtla Gutiérrez, Chiapas",,,122? 
15 de marzo de 1993,Jessica Elizalde de León,"Ciudad Juárez, Chihuahua",,,130? 
2 de junio de 1993,Araceli Caballero Hernández,"Ecatepec, Estado de México",,,130? 
17 de marzo de 1994,José Agustín Reyes,"La Paz, Baja California Sur",,,131? 
6 de junio de 1994,Jorge Martín Dorantes,"Cuernavaca, Morelos",,,132? 
6 de julio de 1994,Enrique Peralta Torres,"Cuernavaca, Morelos",,,133? 
11 de julio de 1994,José Luis Rojas,"Cuernavaca, Morelos",,,134? 
1995,Cuauhtémoc Ornelas Ocampo,N/A,,,N 3?135? 
5 de febrero de 1995,Ruperto Armenta Gerardo,"Guasave, Sinaloa",,,136? 
14 de mayo de 1995,Jessica Lizalde,"Ciudad Juárez, Chihuahua",,,137?138? 
18 de junio de 1995,Dante Espartaco Cortés,"Tijuana, Baja California",,,139? 
25 de octubre de 1996,Fernando Martínez Ochoa,"Chihuahua, Chihuahua",,,140? 
3 de diciembre de 1996,Fernando Balderas Sánchez,"Ciudad de México, Ciudad de México",,,141? 
3 de diciembre de 1996,Yolanda Figueroa,"Ciudad de México, Ciudad de México",,,141? 
22 de marzo de 1997,Jesús Abel Bueno León,"Chilpancingo, Guerrero",,,142? 
15 de julio de 1997,Benjamín Flores González,"San Luis Río Colorado, Sonora",,,143? 
26 de julio de 1997,Víctor Hernández Martínez,"Ciudad de México, Ciudad de México",,,144? 
16 de diciembre de 1997,Margarito Morales Ramírez,"Cocula, Jalisco",,,145?146? 
12 de febrero de 1998,Luis Mario García Rodríguez,"Ciudad de México, Ciudad de México",,,147? 
23 de octubre de 1998,Claudio Cortés García,"Ciudad de México, Ciudad de México",,,148?149? 
29 de octubre de 1998,Pedro Valle Hernández,"Zihuatanejo, Guerrero",,,94?150? 
15 de diciembre de 1998,Philip True,"Jalisco, Jalisco",,,151? 
15 de abril de 1999,Mario Morales Palacios,"Matamoros, Tamaulipas",,,102?152? 
28 de abril de 1999,Ramiro Ramírez Duarte,"Zacapu, Michoacán",,,94?153? 
7 de febrero de 2000,Luis Roberto Cruz Martínez,"Reynosa, Tamaulipas",,,154?155? 
9 de abril de 2000,Pablo Pineda Gaucín,"Matamoros, Tamaulipas",,,156?157? 
19 de abril de 2000,Hugo Sánchez Eustaquio,"Atizapan de Zaragoza, Estado de México",,,158? 
28 de abril de 2000,José Ramírez Puente,"Ciudad Juárez, Chihuahua",,,159? 
9 de febrero de 2001,Humberto Méndez Rendón,"Gómez Palacio, Durango",,,160? 
21 de febrero de 2001,José Luis Ortega Mata,"Ojinaga, Chihuahua",,,161?162? 
9 de marzo de 2001,José Barbosa Bejarano,"Ciudad Juárez, Chihuahua",,,163? 
27 de marzo de 2001,Saúl Antonio Martínez Gutiérrez,"Matamoros, Tamaulipas",,,164? 
12 de enero de 2002,Félix Alfonso Fernández García,"Miguel Alemán, Tamaulipas",,,165? 
1 de febrero de 2002,Julio Samuel Morales Ferrón,"Tacuba, Ciudad de México",El Sol de México ,,166?167? 
15 de octubre de 2002,José Miranda Virgen,"Veracruz, Veracruz",,,168? 
10 de junio de 2003,Jesús Mejía Lechuga,"La Torre, Veracruz",,,169?170? 
15 de septiembre de 2003,Gregorio Urieta,"Acapulco, Guerrero",,,169?170? 
13 de diciembre de 2003,Rafael Villafuerte Aguilar,"Ciudad Altamirano, Guerrero",,,155?171? 
11 de febrero de 2004,Alberto Torres Villegas,"Córdoba, Veracruz",,,172? 
19 de marzo de 2004,Roberto Javier Mora García,"Nuevo Laredo, Tamaulipas",,,173? 
20 de abril de 2004,Evaristo Ortega Zárate,"Colipa, Veracruz",,,N 4?174? 
22 de junio de 2004,Francisco Javier Ortiz Franco,"Tijuana, Baja California",,,175? 
31 de agosto de 2004,Francisco Arratia Saldierna,"Matamoros, Tamaulipas",,,176? 
9 de septiembre de 2004,Leodegario Aguilera Lucas,"Guerrero, Guerrero",,,169? 
28 de noviembre de 2004,Gregorio Rodríguez Hernández,"Escuinapa, Sinaloa",,,177? 
2 de abril de 2005,Alfredo Jiménez Mota,"Hermosillo, Sonora",,,178? 
8 de abril de 2005,Raúl Gibb Guerrero,"Poza Rica, Veracruz",,,179? 
16 de abril de 2005,Dolores Guadalupe García Escamilla,"Nuevo Laredo, Tamaulipas",,,180? 
17 de septiembre de 2005,José Reyes Brambila,"Guadalajara, Jalisco",,,181? 
31 de octubre de 2005,Hugo Barragán Ortiz,"Tierra Blanca, Veracruz",,,182? 
25 de octubre de 2005,Julio César Martínez Pérez,"Reynosa, Tamaulipas",,,183?184? 
6 de enero de 2006,José Valdés,"Sabinas, Coahuila",,,185? 
9 de marzo de 2006,Jaime Arturo Olvera Bravo,"La Piedad, Michoacán",,,186? 
10 de marzo de 2006,Ramiro Téllez Contreras,"Nuevo Laredo, Tamaulipas",,,187? 
26 de marzo de 2006,Rosendo Pardo Ozuna,"Tuxtla Gutiérrez, Chiapas",,,188? 
8 de julio de 2008,Rafael Ortiz Martínez,"Monclova, Coahuila",,,N 5?189? 
10 de agosto de 2006,Enrique Perea Quintanilla,"Chihuahua, Chihuahua",,,190? 
27 de octubre de 2006,Bradley Will,"Santa Lucía del Camino, Oaxaca",,,191? 
10 de noviembre de 2006,Misael Tade mayo deo Hernández,"Zihuatanejo, Guerrero",,,192? 
17 de noviembre de 2006,José Manuel Nava Sánchez,"Ciudad de México, Ciudad de México",,,193? 
20 de noviembre de 2006,José Antonio García Apac,"Tepalcatepec, Michoacán",,,N 6?194? 
21 de noviembre de 2006,Roberto Marcos García,"Veracruz, Veracruz",,,195? 
31 de noviembre de 2006,Alfonso Sánchez Guzmán,"Orizaba, Veracruz",,,168? 
8 de diciembre de 2006,Raúl Marcial Pérez,"Oaxaca, Oaxaca",,,196? 
17 de enero de 2007,Gerardo Guevara Domínguez,"Ocampo, Durango",,,197? 
20 de enero de 2007,Rodolfo Rincón Taracena,"Villahermosa, Tabasco",,,198? 
6 de abril de 2007,Amado Ramírez Dillanes,"Acapulco, Guerrero",,,199? 
16 de abril de 2007,Saúl Noé Martínez Ortega,"Nuevo Casas Grandes, Chihuahua",,,200? 
9 de mayo de 2007,Gabriel González Rivera,"Ciudad de México, Ciudad de México",,,201? 
5 de septiembre de 2007,Óscar Rivera Inzunza,"Culiacán, Sinaloa",,,202? 
8 de octubre de 2007,Mateo Cortés Martínez,"Tehuantepec, Oaxaca",,,203? 
8 de octubre de 2007,Agustín López Nolasco,"Tehuantepec, Oaxaca",,,204? 
8 de octubre de 2007,Flor Vásquez López,"Tehuantepec, Oaxaca",,,205? 
4 de diciembre de 2007,Gastón Alonso Acosta Toscano,"Aguas Prieta, Sonora",,,206? 
